town_number,town_h,year,property_crimes,motor_thefts,drugs,assults,sexual_assult,robberies,spousal
1139,כרמיאל    ,2012,646,26,162,204,27,12,103
1139,כרמיאל    ,2013,510,19,149,214,35,12,114
1271,להבים     ,2011,99,9,3,11,0,3,1
1271,להבים     ,2012,127,15,7,13,1,1,5
1271,להבים     ,2013,183,19,5,15,1,2,9
7000,לוד       ,2011,2133,251,556,566,66,94,228
7000,לוד       ,2012,1962,263,441,572,60,66,276
7000,לוד       ,2013,2079,272,660,533,66,64,263
1310,לפיד      ,2011,20,5,2,1,2,1,1
1310,לפיד      ,2012,14,3,2,1,0,0,2
1310,לפיד      ,2013,25,0,3,7,1,0,4
1060,לקיה      ,2011,68,5,8,20,0,1,5
1060,לקיה      ,2012,53,3,14,44,0,2,10
1060,לקיה      ,2013,63,7,14,42,1,1,9
1015,מבשרת ציון,2011,355,64,44,80,13,0,58
1015,מבשרת ציון,2012,383,78,58,85,20,4,62
1015,מבשרת ציון,2013,433,89,50,118,11,4,64
516,מג'דל כרום,2011,74,3,30,61,2,1,8
516,מג'דל כרום,2012,79,3,19,90,0,0,23
516,מג'דל כרום,2013,84,4,38,76,7,8,17
4201,מג'דל שמס ,2011,34,1,16,25,1,0,4
4201,מג'דל שמס ,2012,34,1,9,47,3,0,11
4201,מג'דל שמס ,2013,35,0,19,26,2,2,10
481,מגאר      ,2011,75,4,7,76,3,1,26
481,מגאר      ,2012,105,1,2,78,4,0,30
481,מגאר      ,2013,92,0,1,69,6,0,30
874,מגדל העמק ,2011,496,34,165,200,24,7,87
874,מגדל העמק ,2012,554,24,149,177,16,13,81
874,מגדל העמק ,2013,459,27,208,168,15,3,74
1200,מודיעין   ,2011,778,103,155,197,21,5,169
1200,מודיעין   ,2012,839,123,120,197,22,4,170
1200,מודיעין   ,2013,866,106,186,244,47,4,179
3797,מודיעין-על,2011,164,8,18,70,21,0,33
3797,מודיעין-על,2012,178,13,19,70,21,1,30
3797,מודיעין-על,2013,134,11,35,83,28,0,36
28,מזכרת בתיה,2011,153,25,2,21,2,2,19
28,מזכרת בתיה,2012,116,21,9,26,1,3,20
28,מזכרת בתיה,2013,128,26,18,22,2,4,11
517,מזרעה     ,2011,30,0,1,20,0,0,5
517,מזרעה     ,2012,35,1,0,16,0,0,4
517,מזרעה     ,2013,27,3,2,15,1,1,8
1268,מיתר      ,2011,58,1,2,15,2,1,8
1268,מיתר      ,2012,62,2,1,15,2,0,12
1268,מיתר      ,2013,63,5,2,17,2,0,6
4203,מסעדה     ,2011,16,0,10,9,1,0,1
4203,מסעדה     ,2012,15,0,5,15,1,0,2
4203,מסעדה     ,2013,13,1,9,9,1,0,1
